matchDate,matchId,team,teamNo,passes,shotsOnTarget,shotsOffTarget,corners,foulsConceded,accuratePasses,goals,foulsWon,possession,offSide,yellowCards,popularity
2015-09-13,341233,S'land,15,313,2,5,6,11,70,0,12,43.9,2,2,38
2015-09-19,341238,S'land,15,416,2,3,3,15,76,0,13,46.9,4,4,38
2015-09-26,341249,S'land,15,311,4,1,2,17,74,0,12,33.8,0,3,99
2015-10-03,341265,S'land,15,367,3,5,1,14,76,2,9,44.1,2,2,45
2015-10-17,341276,S'land,15,352,2,1,5,13,73,0,10,43.8,5,2,22
2015-10-25,341285,S'land,15,311,3,1,1,12,71,3,7,39.7,0,0,46
2015-11-01,341289,S'land,15,326,9,3,1,5,78,2,6,32.6,2,2,40
2015-11-07,341305,S'land,15,314,3,5,3,10,66,0,11,35.8,2,1,40
2015-11-23,341308,S'land,15,244,4,6,2,11,60,1,17,33.4,3,3,40
2015-11-28,341324,S'land,15,436,5,7,9,4,84,2,9,48.2,0,0,40
2015-12-05,341327,S'land,15,257,4,6,2,11,72,1,6,27.5,1,1,43
2015-12-12,341344,S'land,15,415,2,11,8,6,73,0,9,48.6,3,1,30
2015-12-19,341348,S'land,15,280,3,6,2,12,69,1,12,32.8,3,3,48
2015-12-26,341361,S'land,15,306,3,8,1,11,78,1,9,33.6,1,1,44
2016-01-02,341383,S'land,15,381,6,4,3,8,74,3,13,44.9,2,3,100
2015-12-30,341373,S'land,15,326,3,3,6,8,66,0,14,42.3,1,1,100
2015-08-08,341189,Swansea ,16,399,10,2,8,16,81,2,15,48,4,3,67
2015-08-15,341203,Swansea ,16,635,6,6,4,11,92,2,8,65.8,3,2,46
2015-08-22,341213,Swansea ,16,494,9,6,4,9,83,1,14,60.7,2,2,22
2015-08-30,341225,Swansea ,16,365,4,4,0,6,70,2,14,35.5,3,2,100
2015-09-12,341234,Swansea ,16,515,3,4,3,14,81,0,11,60.8,6,1,17
2015-09-19,341245,Swansea ,16,407,3,6,2,12,78,0,11,47.9,3,2,22
2015-09-26,341251,Swansea ,16,542,4,4,3,14,83,1,18,58.5,3,1,19
2015-10-04,341266,Swansea ,16,404,2,5,5,8,78,2,18,45.6,1,1,24
2015-10-19,341273,Swansea ,16,548,2,10,1,6,89,0,14,54.1,1,2,31
2015-10-24,341278,Swansea ,16,419,4,5,6,8,76,2,10,52.1,4,3,31
2015-10-31,341293,Swansea ,16,550,3,1,4,12,85,0,7,54.2,5,2,34
2015-11-07,341303,Swansea ,16,706,0,7,2,7,89,0,11,67.1,2,0,22
2015-11-21,341313,Swansea ,16,401,4,2,4,8,75,2,9,42.7,0,3,10
2015-11-29,341321,Swansea ,16,449,0,5,7,6,82,0,12,46.3,1,1,43
2015-12-05,341334,Swansea ,16,543,2,8,3,3,82,0,19,59,2,2,43
2015-12-12,341342,Swansea ,16,492,7,3,5,15,88,1,13,47,6,1,35
